word,coefficient
sẽ,5.832268382880747
chết,4.790053212844209
giết,4.397496814966867
tôi sẽ,3.890575549942399
bắn,3.26905124358407
chết_tiệt,3.2016685226546353
phải chết,2.954060201252726
sẽ giết,2.654860941248599
bạn,2.597277932683515
đầu,2.332803034251599
giết bạn,2.2009159882011984
là ai,2.1979082398084935
bạn biết,2.1250645424882526
sẽ chết,2.1249678066642685
nếu không,2.1181399251098836
con điếm,2.076593660387975
tự_tử,2.0744381694742717
mày,2.058516973436099
cái chết,2.050750071973351
hôi_hám,2.042133413776408
no,1.9703828976000701
đáng,1.9323046051788655
bị,1.9291573745350719
mông,1.8727990098692846
ng,1.8271312154152695
go,1.8178840145422548
ngươi,1.809772204766883
chết trong,1.781209761472058
chặt,1.7671558347730516
sống,1.7621936037767387
cậu,1.7412510584836525
hy_vọng,1.6625567621061301
khốn_chết,1.6444788241499482
tên khốn_chết,1.6444788241499482
khốn_chết tiệt,1.6444788241499482
tao,1.6405951268846295
thật_sự,1.6288996836836576
đau_đớn,1.5860443857982711
nếu,1.55176020405905
phải bị,1.5343601770279076
tồi_tệ,1.531863747159513
chết đi,1.5272393960121229
sân,1.5085615754086
bạn sẽ,1.4970290207894004
khốn_kiếp,1.4918491818928623
điên,1.4530924159231433
fuck,1.4318106893069946
ai,1.4305363872124988
âm_đạo,1.4286385156292971
tôi,1.427175045172007
anh là,1.4248240627174436
và xin,1.4180756755169697
làm_ơn,1.3931164357208425
đồng_tính anh,1.3743114699001875
mẹ,1.3707674683708644
kẻ,1.366573144165589
đồ,1.3439449223778852
súng,1.3430916824209582
chó,1.3332181598167103
do_thái và,1.3285602304956536
là vua,1.3256791691073269
cặc trong,1.306470422939901
trong mông,1.306470422939901
cưỡng_hiếp,1.2873833375249872
bất_kể,1.2759249590376922
đừng,1.2634471251261803
địa_ngục đi,1.2623510882392057
một thứ,1.2590991947930747
làm_ơn đi,1.2571003923673463
đường,1.249087586053863
sẽ đến,1.244077279646624
không nói,1.2427011752270873
từ_từ,1.2380133113682337
điếm,1.2290818792286258
hiếp,1.220568198502032
mình đi,1.2198314867354714
tiệt tôi,1.2072307694719706
biết bạn,1.1981904485537478
kẻ thua_cuộc,1.1890153104401198
vào,1.1883462089746522
nên bị,1.180612590185991
vua,1.1800107325774154
điều tồi_tệ,1.1733911580579808
tử_tế,1.173258335162553
nhìn,1.1706864635018264
kẻ đồng_tính,1.1684116685482402
ăn thịt,1.1679451558276612
chúng_tôi,1.1615253652206885
sợ,1.1603649027043978
luyến_ái,1.157236239340422
đồng_tính luyến_ái,1.157236239340422
hy_vọng bạn,1.1458838605157498
cái,1.1389522783019104
tao sẽ,1.1337094002712271
dân_tộc,1.129610817707483
lửa,1.1229528731726501
đồ ngu_ngốc,1.1208050049630889
bú một,1.120508265084327
vào mông,1.117436532431567
cảnh_báo,1.1079018709514912
đội,1.1043407999127304
đáng phải,1.1006899000196937
đừng làm,1.0924273211370246
phát_xít,1.0893022388885027
vì bất_kỳ,1.0856570639217638
lý_do gì,1.0784903661598038
của mày,1.0758573371870874
không sẽ,1.0693599578091528
không đáng,1.067280016200011
sẽ tìm,1.0638665816715913
thất_vọng tôi,1.0632609307846481
mày sẽ,1.0615994219210552
gì nếu,1.059754062071156
chủ_nghĩa,1.0531811676154876
đồ khốn_kiếp,1.052035936250726
thịt,1.050659683001654
trong hộp,1.0475588466403187
khốn_nạn khốn_nạn,1.0460933030278565
mình tôi,1.0401528236235715
ta,1.0389649989785965
chết và,1.0376918586513315
bằng,1.0353000379886617
tên,1.0307935080105428
ngốc,1.0258844148155177
lần,1.025719386192511
không tôi,1.0107399943327884
chảy,1.0106280482074996
nơi,1.0093841189875792
sẽ khiến,1.0031905184609606
dành,1.0002942204244856
đi_đi,1.0000788495501265
cuối,0.9964513068265453
địa_ngục,0.9877681501030278
tôi hy_vọng,0.9843111627254026
_đồ,0.9773540117081162
khiến,0.9772858447653734
và giết,0.976148192073007
nói về,0.9694083049978274
xin_lỗi vì,0.9674778337764725
một con,0.9670215586269725
đóng_góp của,0.959204081586672
israel,0.9562483949693888
tôi thất_vọng,0.9551473874568874
sẽ bị,0.9529133473640002
đồ_ngốc,0.9503790002576602
trò_chuyện,0.9501763942706783
phải,0.944717821675254
xấu_xí,0.9440365425172826
ruột,0.9414098011043005
những tên,0.9396773919027279
tôi xin_lỗi,0.9366268601645308
bắt,0.9337100566056522
bị thiêu,0.9221855479365934
thiêu,0.9221855479365934
thua_cuộc,0.9171346082474505
khốn_kiếp tôi,0.9161078967703299
và có_thể,0.9147523801710417
ngạc_nhiên sốc,0.910559168405292
con,0.9103472108481735
bóng_đá,0.9046206005375991
xin,0.9021321635413213
tên ngu,0.9001622723286409
biết,0.899883867576034
và rạch,0.8970721497657499
đến chết,0.8952928470872573
máu của,0.8947024383911004
mẹ kiếp,0.8934279715357938
bằng cách,0.8875937774525835
xu,0.8875178041760604
tiệt đồ,0.8833123694731098
bạn và,0.8818112496655314
sẽ làm,0.8805581175560406
đang nói,0.8780644706398001
tức_là,0.8769098471023203
quay trở_lại,0.8758303460919346
một đứa,0.8747159624413704
chết một_cách,0.8739698216856281
một_cách đau_đớn,0.8739698216856281
kiếp,0.8737078711995663
đức_quốc_xã,0.8703474225872962
chết bạn,0.8658953175482021
bạn sống,0.8638695267393869
này phải,0.8618683185217888
ngu_ngốc,0.861174146297567
dành cho,0.8599247971906737
chiến_tranh và,0.8524953628704841
ghê_tởm,0.8498674824528255
và,0.8489301368716512
sốc,0.8472066169138743
hãy,0.8459961647699368
như_vậy nhưng,0.8424140887546105
với bạn,0.8362008277112908
lũ,0.8292954599418814
thiêu trong,0.8291506245930979
chủ_nghĩa dân_tộc,0.8278404617068731
khốn_nạn,0.8256843321345934
đáng_lẽ phải,0.8247229558577306
tôi nếu,0.8239725907671563
ngoại_trừ các,0.8237496889593627
_đồ khốn_kiếp,0.8203760345620402
được cảnh_báo,0.8177830360627526
chưa có,0.8149159532898944
làm hỏng,0.8141647978855352
đến nhà,0.8140836369462454
về wikipedia,0.8109852898965442
phớt_lờ,0.810647402776235
bạn những,0.8101910353475201
đó nên,0.8098604685763705
nay,0.808355582868017
kẻ đáng,0.803939314079612
rạch,0.8031282876126021
chúng_tôi sẽ,0.8028476964027189
làm tôi,0.7976258375907009
đứa trẻ,0.7954888514288112
khiến bạn,0.7943876656812545
đáng được,0.7939046849659529
nhà bạn,0.7931044700922139
bên trái,0.7929846530590934
_thế,0.788005552465639
đáng bị,0.7863451856025423
bạn vì_vậy,0.7829414065340928
cảnh_báo về,0.7821771885991289
đau_khổ,0.7814595134324436
da_trắng,0.7807869638049512
các chính_sách,0.7761807244060788
việc chuyển,0.7752016778323891
nhưng vẫn,0.7747383230511583
chính_sách của,0.7745155386086127
bạn đừng,0.7699710195074846
thực,0.7692390729210214
lắm,0.7674549541070146
đức,0.765944760125262
nga,0.7645473851847718
hãm,0.7638911714613128
không hiểu,0.7621789274131665
đáng_lẽ,0.7607522000994008
hình_thành,0.7602083652608301
đã chỉnh_sửa,0.7573134729048737
chết phải,0.7570744333080155
bạn còn,0.7527624523025113
bọn mọi,0.7518527383899692
trái,0.7508963376131466
quản_trị_viên wikipedia,0.7501136670909985
theo chủ_nghĩa,0.7487261679330987
vì_vậy hãy,0.7481351637730818
biện_hộ,0.7476219946936932
