word,coefficient
lũ,4.190447183479022
khốn_kiếp,3.5353658935910484
chết,3.4191893900587345
chết tiệt,2.998598279745628
cặc,2.821454553911017
bạn,2.7877043831001647
tiệt,2.7851381253231353
mày,2.4590416299553604
fuck,2.3757316299992772
url url,2.351799609440555
đồng_tính,2.2484050316705706
đồ khốn_kiếp,2.2309977132166603
url,2.14648261470353
ranh,2.106763533052147
hút,2.0259303169406575
khốn_nạn,1.9424477837099872
bú_cặc,1.9358346577493988
con,1.9241727137674804
tôi,1.9232310593910258
người da,1.891219821895387
đi,1.8711319294557163
con ranh,1.8496523704109658
tôi sẽ,1.8362741731245602
gã đồng_tính,1.829040762158692
kẻ khốn_nạn,1.8234245820628292
sa_thải,1.8007915619907502
bú,1.7999000681640767
ung_thư,1.7793848193010444
chết_tiệt,1.7647927759032178
quản_trị_viên tôi,1.7319326943141031
hãy chết,1.7312317338972274
nên chết,1.707532850631633
đồ,1.6998138339357824
aha,1.6583655478361528
hah,1.6583655478361528
tệ quá,1.6559777708123187
tôi tôi,1.6074174983377665
anh là,1.6073531474320852
cái lồn,1.5735905489990538
cá là,1.5574243978032563
lũ khốn,1.5495428964724878
mẹ kiếp,1.5381244493141235
khổng_lồ,1.534412723132495
bạn tôi,1.5327654397490778
tôi rồi,1.5306441797857842
kiếp,1.5305235846849414
anh,1.5299247752169438
hãy,1.5039203953628728
các bạn,1.4948845319369295
tinh_ranh,1.475357910972543
bạn bằng,1.4722130967499851
của mày,1.4667435500757653
tuổi,1.4523887663885373
bú cặc,1.4456375210342298
da đen,1.4422333925134228
khốn_đó,1.4416191132835943
mông,1.4386211472296715
hah aha,1.4368534413086078
khốn_kiếp tôi,1.4340607997176953
cái_quái gì,1.4296363917636654
cái_quái,1.4296363917636654
bạn hãy,1.4247222451226214
wikipedia chết,1.4089002837169842
nazi,1.4062507460793796
ai đó,1.4000556893832277
đồ khốn_nạn,1.3950155336437058
chết và,1.3940443897322055
tệ,1.3800877890468024
vào,1.3763569147063905
mày có,1.3584618759283535
tôi cá,1.353007854695699
gì vậy,1.3528601112028134
tới,1.34874920429993
thằng khốn,1.3112896753973406
lồn,1.3106006711626514
mãi_mãi,1.2924178278245064
quay,1.2923193311075862
đã trở_thành,1.276621565554772
tôi đi,1.2741871231137338
chúc_mừng vì,1.2708996641543815
_mày,1.2553712537817505
thích,1.2539171050206948
điều tôi,1.250968647433677
bỏ chặn,1.2498202050740257
tôi muốn,1.2497130234079632
các người,1.2489810488329864
quay lại,1.2457951095459217
im,1.2401808506002125
im đi,1.2401808506002125
tôi có_thể,1.2289196856973654
vua,1.2247551556787375
ông_già,1.2086060538513879
của tao,1.2067741134149392
ps,1.2027901589229903
mẹ,1.2005944815028975
việc bú,1.200217401052443
hãy sống,1.2000874940254065
nhỏ của,1.1976322650838194
điếm,1.1944596637279805
ai,1.1904855690457299
tôi nghe,1.168242672433681
con điếm,1.1666960633688062
âm_đạo,1.1659936964669042
hàn_quốc,1.1575561219988522
chết vì,1.1522475981436144
tiệt đi,1.1514617171387402
25,1.1475572250226913
bạn thật,1.1377286102418962
trong địa_ngục,1.128843566552301
bẩn_thỉu,1.1286897014285306
đang có,1.1226734898914692
ngốc và,1.1184740937036022
bạn đều,1.115419297183846
để chúng_tôi,1.1103761181778107
đồ_khốn,1.1103193507646931
muốn nói,1.1062119488476536
mình đang,1.1048508717503571
đen,1.1006605691273375
là đồ,1.1004533817449098
giết,1.0994747333811508
khốn,1.0940092156356955
đấy,1.0917591981942163
và anh,1.0857386555306177
đó chết,1.083120927703836
thật,1.0748392464854337
bảo tôi,1.069329446626833
một kẻ,1.0651041633614937
hoàn_nguyên,1.060901452197857
_đồ,1.060826110481568
trở_thành,1.0541665773212776
của chính,1.0537984600091759
đầu,1.0537567293389434
chết đi,1.0514812492302987
đồ ngu_ngốc,1.0506917622434868
biết mày,1.0499406704068739
đang,1.0399042381836288
súng của,1.0278255895791912
bằng súng,1.0278255895791912
ta cần,1.0195759945563658
đùa,1.0189016065958225
ăn_cứt của,1.0170741674567585
hy_vọng,1.0096834044289966
tên ngốc,1.0047393686280142
là điều,1.0034728497293772
