Từ ngữ nhạy cảm,Hệ số,Từ ngữ phổ biến,Số lần xuất hiện
đồ,4.768671398522027,bạn,585
khốn_nạn,4.280690872180679,con,349
tiệt,3.9055966517594243,chó,334
chết tiệt,3.662695626317254,đụ,305
bạn,3.2661302966956325,chết,179
lũ,2.8229921532007305,tiệt,170
chết,2.637180700687042,bị,157
ngốc,2.5935895019521245,sa_thải,154
mày,2.5918438830275305,nó,103
mẹ,2.5704625059815163,lên,93
khốn,2.4927887160086364,mông,71
tên,2.4457112822044156,đưa,69
bú_cặc,2.39997207455306,tôi,66
đi,2.311121701404041,rồi,48
con,2.2385237246802214,_nate,47
ngu,2.2290258143653157,đi,29
khốn_kiếp,2.1648209620345904,nhấc,23
ngu_ngốc,2.1642466447339905,người,22
fuck,2.079574745730133,đồ,21
một tên,2.045344561440515,sẽ,17
tệ,1.9075179707219327,những,16
cặc,1.8282454111793924,thật,15
ngu ngốc,1.7663626633215146,về,14
tôi,1.6827326735522068,khốn_nạn,14
tệ quá,1.6427285264584761,đó,14
rồi,1.6109139023146997,vì,13
hút,1.5865640907830776,đã,13
mẹ kiếp,1.5755477737088517,chặn,12
kiếp,1.5590472445992398,tên,12
đừng,1.5411397850396877,đang,12
đồ khốn_nạn,1.525792784315515,,0
là một,1.5113158176130104,,0
thật,1.5046034992289778,,0
url url,1.4911593516762944,,0
điếm,1.4839218307381659,,0
đồ khốn_kiếp,1.4838379593825217,,0
dương_vật,1.4600733626847575,,0
đi chết,1.427650767557145,,0
hoàn_nguyên,1.4083930083174836,,0
gã,1.3939656814568626,,0
đồ khốn,1.3882013856312538,,0
kẻ,1.3647175963468912,,0
fag,1.359226051413702,,0
đấy,1.355229417213462,,0
khổng_lồ,1.3288397638510494,,0
thằng,1.3222513972720402,,0
những kẻ,1.3196284201324657,,0
bọn,1.2792324734088014,,0
giết,1.2692909122641554,,0
wiki,1.2249140997188284,,0
