word,coefficient
đồ,4.768671398522027
khốn_nạn,4.280690872180679
tiệt,3.9055966517594243
chết tiệt,3.662695626317254
bạn,3.2661302966956325
lũ,2.8229921532007305
chết,2.637180700687042
ngốc,2.5935895019521245
mày,2.5918438830275305
mẹ,2.5704625059815163
khốn,2.4927887160086364
tên,2.4457112822044156
bú_cặc,2.39997207455306
đi,2.311121701404041
con,2.2385237246802214
ngu,2.2290258143653157
khốn_kiếp,2.1648209620345904
ngu_ngốc,2.1642466447339905
fuck,2.079574745730133
một tên,2.045344561440515
tệ,1.9075179707219327
cặc,1.8282454111793924
ngu ngốc,1.7663626633215146
tôi,1.6827326735522068
tệ quá,1.6427285264584761
rồi,1.6109139023146997
hút,1.5865640907830776
mẹ kiếp,1.5755477737088517
kiếp,1.5590472445992398
đừng,1.5411397850396877
đồ khốn_nạn,1.525792784315515
là một,1.5113158176130104
thật,1.5046034992289778
url url,1.4911593516762944
điếm,1.4839218307381659
đồ khốn_kiếp,1.4838379593825217
dương_vật,1.4600733626847575
đi chết,1.427650767557145
hoàn_nguyên,1.4083930083174836
gã,1.3939656814568626
đồ khốn,1.3882013856312538
kẻ,1.3647175963468912
fag,1.359226051413702
đấy,1.355229417213462
khổng_lồ,1.3288397638510494
thằng,1.3222513972720402
những kẻ,1.3196284201324657
bọn,1.2792324734088014
giết,1.2692909122641554
wiki,1.2249140997188284
một,1.2169515012006844
mông,1.2140571413269792
_đồ,1.2100359391234343
là người,1.2024804178017099
cái,1.1527836647794407
bú,1.1360338214395906
tôi tôi,1.118074803510957
bạn là,1.1026268269599562
thật tệ,1.0874372356857556
tại_sao bạn,1.0515240873705929
chó,1.0447664738825497
âm_đạo,1.043977385372844
anh ta,1.0421758747420298
bạn hãy,1.0303097282463463
đầu,1.0217316921745787
họ,1.0165725169558368
chặn,1.0152589826420026
bạn thật,0.9974323289035073
sau,0.9943434104705458
vì tôi,0.9908287614376985
ngoài hành_tinh,0.9859287879283536
go,0.9849988604652333
ăn,0.9795152642832687
luôn,0.9787107395498287
đúng là,0.9753367083880385
người da,0.9741579118342072
vậy,0.9732128969692608
thở,0.9716483504168886
muốn cưỡng_hiếp,0.9565897066761053
hãy,0.9560202042674507
lên,0.9530194550819
cá là,0.9352864590275463
blah,0.9328964794237796
sân,0.9313019192372127
rồi đồ,0.9235512476838974
tiệt tôi,0.9215235732894271
là trang,0.9186584795494072
bạn bạn,0.9172035744232869
vua,0.91407429428626
tên khốn_nạn,0.9130204825613881
anh,0.907659162727537
khiến,0.9048530703076342
trang của,0.9006188431327461
khỏi,0.9002735717830547
có_thể khiến,0.8996597799099041
một kẻ,0.8873458839795806
phụ_nữ,0.8851003247561909
đồng,0.8848703623631917
tôi muốn,0.8846377222867472
trở_thành một,0.8839072103293717
đến,0.8829045563177554
mắt,0.8758594723908545
quen với,0.8754730683324988
quen,0.8754730683324988
gái điếm,0.8715745384200534
tên khốn,0.871142218222809
nên hãy,0.8691304005922885
nhảy,0.8673088818836997
ranh,0.86311527542545
bạn thân,0.8630387995068454
thân,0.8630387995068454
và sau,0.8620929977527432
người là,0.8614966712893168
quản_trị_viên tôi,0.8604196096431425
hút một,0.8593373763546895
điều này,0.8559679629339049
