word,coefficient
đồng_tính,6.048028876042314
người,4.104965031994996
đen,3.643951026197219
da,3.1766489817674026
đồ_khốn,3.0020721538977755
tao,2.8258375047601327
do_thái,2.754419315648742
ngu,2.7093300023687865
là người,2.6833659260770806
cậu chết,2.6741011940455395
gã,2.6739386054483756
hồi_giáo,2.6047400262416334
đức_quốc_xã,2.4950726379280153
anh,2.414356797114634
lũ,2.352958515817896
người đồng_tính,2.344198241975005
đi,2.323753369509266
mọi đen,2.2933630674188965
đồ,2.261097792487903
khốn_nạn,2.187562802731908
ngu ngốc,2.1678298224764094
nga,2.1367897784188488
ăn,2.0318218442928258
bà ấy,1.9600437355178504
mày,1.950973126679644
tôi không_thể,1.8888114045679538
phân_biệt chủng_tộc,1.879351246341768
chủng_tộc,1.844545511038422
con,1.821046386525032
da đen,1.8044031841814399
luôn,1.800405748125703
đến,1.797588085557456
những kẻ,1.7841066857182204
bạn lại,1.7588615935145024
không_thể,1.7343873265639838
bạn,1.731885161724346
nhớ,1.7287804738078036
phân_biệt,1.7226905404535953
mặt,1.7109132695729263
nhỏ_bé,1.6817251641845974
kẻ,1.6734642835215756
bọn,1.670982665605548
anh_chàng người,1.6322814252858486
mẹ mày,1.6180355211830226
lại,1.610744131102727
haha,1.5734704167713107
người nga,1.5505204805723307
là bạn,1.5462335584909646
của đức_quốc,1.5433369344909669
khốn_nạn đây,1.5420896098674046
người do_thái,1.5416796099100547
tôi có,1.5380976862594697
tên da,1.5204918683207795
tuyên_truyền,1.5189249936887237
to_lớn,1.503010038864169
một kẻ,1.4987493287158866
gay,1.489188567687757
thảm_sát,1.486443439152307
vụ thảm_sát,1.486443439152307
thật,1.440741741607627
trung_quốc,1.4277158886639014
bà,1.4237093922202684
người hồi_giáo,1.4205325524593289
bạn thân,1.3975418049521595
thân,1.3975418049521595
vĩ_đại,1.3916065827947675
điếm,1.3896429163292898
đức,1.3847772708480655
tàu,1.3822977226784683
quen với,1.3736025692996905
quen,1.3736025692996905
mông,1.3613944947179513
anh bạn,1.3603199995348307
khủng_khiếp,1.3595188061702426
bạn thật,1.3418578324076618
wtf,1.338454075349639
đồng_tính nam,1.3317070321882938
đồ khốn_nạn,1.3115743307340528
chúc_mừng vì,1.2915260133358781
