Từ ngữ nhạy cảm,Hệ số,Từ ngữ phổ biến,Số lần xuất hiện
lũ,4.190447183479022,bạn,179
khốn_kiếp,3.5353658935910484,chết,167
chết,3.4191893900587345,tiệt,162
chết tiệt,2.998598279745628,bị,154
cặc,2.821454553911017,sa_thải,154
bạn,2.7877043831001647,rồi,47
tiệt,2.7851381253231353,_nate,47
mày,2.4590416299553604,tôi,23
fuck,2.3757316299992772,đi,16
url url,2.351799609440555,con,8
đồng_tính,2.2484050316705706,đồ,8
đồ khốn_kiếp,2.2309977132166603,mẹ,7
url,2.14648261470353,mày,7
ranh,2.106763533052147,khốn_nạn,6
hút,2.0259303169406575,khốn,6
khốn_nạn,1.9424477837099872,cặc,4
bú_cặc,1.9358346577493988,kiếp,4
con,1.9241727137674804,tất_cả,4
tôi,1.9232310593910258,sẽ,4
người da,1.891219821895387,thật,3
đi,1.8711319294557163,ăn,3
con ranh,1.8496523704109658,cái,3
tôi sẽ,1.8362741731245602,này,3
gã đồng_tính,1.829040762158692,xóa_trang,3
kẻ khốn_nạn,1.8234245820628292,ha,3
sa_thải,1.8007915619907502,người,3
bú,1.7999000681640767,khốn_kiếp,3
ung_thư,1.7793848193010444,tao,3
chết_tiệt,1.7647927759032178,nói,2
quản_trị_viên tôi,1.7319326943141031,lại,2
hãy chết,1.7312317338972274,,0
nên chết,1.707532850631633,,0
đồ,1.6998138339357824,,0
aha,1.6583655478361528,,0
hah,1.6583655478361528,,0
tệ quá,1.6559777708123187,,0
tôi tôi,1.6074174983377665,,0
anh là,1.6073531474320852,,0
cái lồn,1.5735905489990538,,0
cá là,1.5574243978032563,,0
lũ khốn,1.5495428964724878,,0
mẹ kiếp,1.5381244493141235,,0
khổng_lồ,1.534412723132495,,0
bạn tôi,1.5327654397490778,,0
tôi rồi,1.5306441797857842,,0
kiếp,1.5305235846849414,,0
anh,1.5299247752169438,,0
hãy,1.5039203953628728,,0
các bạn,1.4948845319369295,,0
tinh_ranh,1.475357910972543,,0
