Từ ngữ nhạy cảm,Hệ số,Từ ngữ phổ biến,Số lần xuất hiện
sẽ,5.832268382880747,chết,152
chết,4.790053212844209,phải,146
giết,4.397496814966867,jim,145
tôi sẽ,3.890575549942399,wales,145
bắn,3.26905124358407,tôi,23
chết_tiệt,3.2016685226546353,bạn,21
phải chết,2.954060201252726,sẽ,13
sẽ giết,2.654860941248599,anh,6
bạn,2.597277932683515,đó,5
đầu,2.332803034251599,mẹ,4
giết bạn,2.2009159882011984,nếu,4
là ai,2.1979082398084935,vào,4
bạn biết,2.1250645424882526,đồ,3
sẽ chết,2.1249678066642685,con,3
nếu không,2.1181399251098836,hy_vọng,3
con điếm,2.076593660387975,lần,3
tự_tử,2.0744381694742717,đi,3
mày,2.058516973436099,giết,3
cái chết,2.050750071973351,đến,3
hôi_hám,2.042133413776408,đầu,3
no,1.9703828976000701,kiếp,2
đáng,1.9323046051788655,thậm_chí,2
bị,1.9291573745350719,sau,2
mông,1.8727990098692846,giả,2
ng,1.8271312154152695,trước,2
go,1.8178840145422548,có_thể,2
ngươi,1.809772204766883,lên,2
chết trong,1.781209761472058,wikipedia,2
chặt,1.7671558347730516,ai,2
sống,1.7621936037767387,nói,2
cậu,1.7412510584836525,,0
hy_vọng,1.6625567621061301,,0
khốn_chết,1.6444788241499482,,0
tên khốn_chết,1.6444788241499482,,0
khốn_chết tiệt,1.6444788241499482,,0
tao,1.6405951268846295,,0
thật_sự,1.6288996836836576,,0
đau_đớn,1.5860443857982711,,0
nếu,1.55176020405905,,0
phải bị,1.5343601770279076,,0
tồi_tệ,1.531863747159513,,0
chết đi,1.5272393960121229,,0
sân,1.5085615754086,,0
bạn sẽ,1.4970290207894004,,0
khốn_kiếp,1.4918491818928623,,0
điên,1.4530924159231433,,0
fuck,1.4318106893069946,,0
ai,1.4305363872124988,,0
âm_đạo,1.4286385156292971,,0
tôi,1.427175045172007,,0
