Từ ngữ nhạy cảm,Hệ số,Từ ngữ phổ biến,Số lần xuất hiện
bạn,5.106333216539827,bạn,617
đồ,4.543639094645291,con,350
ngốc,3.8655499065161294,chó,335
khốn_nạn,3.8459883952239857,đụ,305
lũ,3.0979241920862672,chết,179
ngu_ngốc,2.843249054952645,tiệt,170
con,2.6321536160014922,bị,160
tên,2.576033917982722,sa_thải,154
tiệt,2.523027795256461,nó,103
đi,2.350702295331542,lên,92
tệ,2.3192129548309066,tôi,79
khốn,2.282604170952816,mông,71
chết tiệt,2.2195431843797415,đưa,70
bạn là,2.1916996573082836,rồi,48
chết,2.0660266706075276,_nate,47
đấy,2.055811653571535,người,39
kẻ,2.0357733166412375,đi,30
mày,1.8790205064964811,nhấc,23
thật,1.8588623285244865,những,22
một tên,1.8430954501552024,đồ,21
ngu,1.834773231064602,sẽ,20
trang của,1.764338627337894,đã,18
khốn_kiếp,1.7445930464124209,thật,16
đồ khốn_nạn,1.7158123309462827,về,16
là một,1.7031951200847455,này,15
đừng,1.6810345129006532,khốn_nạn,14
gã,1.6750275050076384,đang,14
anh,1.6507733932740203,kẻ,13
ngu ngốc,1.6472043401059457,cái,12
đồ ngốc,1.6268942675572877,vì,12
da,1.6006574807069094,,0
fag,1.5734425068269395,,0
quá,1.554776412425115,,0
url url,1.521051237864487,,0
một kẻ,1.4923146456691783,,0
wiki,1.4399187147244945,,0
là người,1.4194067067932787,,0
là,1.381644104877507,,0
thằng,1.367859319608334,,0
điếm,1.3491853995342302,,0
mọi người,1.3481303639191837,,0
_đồ,1.3317963974282117,,0
tệ quá,1.326800368510405,,0
béo,1.3205963269012446,,0
mông,1.310021050411391,,0
người,1.2622469678976307,,0
những kẻ,1.235852794416571,,0
chết đi,1.2344999683755955,,0
hậu_môn,1.2330642041093798,,0
các bạn,1.2209860588326786,,0
